STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA_x,RGSA_GAS_EFFECT,NGSA_x,NGSA_GAS_EFFECT,DGSA_x,DGSA_GAS_EFFECT,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RGSA_y,NGSA_y,DGSA_y
ABAB,ABB-041,1390.1928,,-39.727,44.776,1.455,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9502707397699733,0.3732,2.0999999999999996
ABAB,ABB-041,1390.3452,,-41.052,44.776,1.387,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9555190933406628,0.3732,2.0999999999999996
ABAB,ABB-041,1390.4976,,-42.3761,44.776,1.32,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9607964336138258,0.3732,2.0999999999999996
ABAB,ABB-041,1390.65,,-43.0682,44.776,1.252,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9661029206832804,0.3732,2.0999999999999996
ABAB,ABB-041,1390.8024,,-42.1693,44.776,1.185,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9714387155270204,0.3732,2.0999999999999996
ABAB,ABB-041,1390.9548,,-41.2703,44.776,1.117,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9768039800121464,0.3732,2.0999999999999996
ABAB,ABB-041,1391.1072,,-40.3714,44.776,0.843,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9821988768997444,0.3732,2.0999999999999996
ABAB,ABB-041,1391.2596,,-39.6415,44.776,0.783,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9876235698498393,0.3732,2.0999999999999996
ABAB,ABB-041,1391.412,,-38.9116,44.776,0.723,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9930782234263277,0.3732,2.0999999999999996
ABAB,ABB-041,1391.5644,,-38.1816,44.776,0.664,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9985630031020181,0.3732,2.0999999999999996
