STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR
ABAB,ABB-138,722.9856,8.7466,-57.5078,124.6985,1.1655,0.5165,2.14,MEF,
ABAB,ABB-138,723.138,8.8988,-57.8472,117.6107,0.9399,0.4898,2.1282,MEF,
ABAB,ABB-138,723.2904,9.1397,-57.6597,113.4696,0.9763,0.4321,2.1055,MEF,
ABAB,ABB-138,723.4428,8.7593,-56.1319,113.2407,1.0284,0.4215,2.0832,MEF,
ABAB,ABB-138,723.5952,8.7593,-56.7431,119.7356,1.0813,0.4549,2.0193,MEF,
ABAB,ABB-138,723.7476,8.4804,-56.2847,114.173,1.6931,0.5502,1.861,MEF,
ABAB,ABB-138,723.9,8.5438,-55.3984,93.2411,3.0044,0.7528,1.6002,MEF,
ABAB,ABB-138,724.0524,8.6072,-54.4028,68.2056,3.6926,0.854,1.37,MEF,
ABAB,ABB-138,724.2048,8.6325,-53.9375,51.5854,3.9577,0.7264,1.2335,MEF,
ABAB,ABB-138,724.3572,8.6072,-54.1319,44.3876,2.8404,0.7283,1.2082,MEF,
ABAB,ABB-138,724.5096,8.8608,-53.2847,45.0525,2.4148,0.9152,1.2115,MEF,
ABAB,ABB-138,724.662,9.0763,-53.5703,46.7741,2.2971,1.2171,1.2142,MEF,
ABAB,ABB-138,724.8144,9.1144,-54.1042,51.4187,2.4591,1.033,1.2119,MEF,
ABAB,ABB-138,724.9668,8.7847,-54.3194,49.7635,3.0458,0.8882,1.2106,MEF,
ABAB,ABB-138,725.1192,8.734,-54.3542,50.858,3.3558,0.7888,1.2192,MEF,
ABAB,ABB-138,725.2716,8.7086,-54.9792,56.2258,2.8837,0.7887,1.3099,MEF,
