DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1408.176,ABAB,ABB-122,,-57.7082,69.541,1.207,0.3972,2.19,GUF
1408.3284,ABAB,ABB-122,,-57.4009,69.541,1.204,0.3972,2.19,GUF
1408.4808,ABAB,ABB-122,,-57.0927,69.541,1.201,0.3972,2.19,GUF
1408.6332,ABAB,ABB-122,,-56.4564,69.541,1.201,0.3972,2.19,GUF
1408.7856,ABAB,ABB-122,,-55.8201,69.541,1.201,0.3972,2.19,GUF
1408.938,ABAB,ABB-122,,-56.1239,69.541,1.201,0.3972,2.19,GUF
1409.0904,ABAB,ABB-122,,-56.4276,69.541,1.219,0.3972,2.19,GUF
1409.2428,ABAB,ABB-122,,-56.7314,69.541,1.239,0.3972,2.19,GUF
1409.3952,ABAB,ABB-122,,-56.7871,69.541,1.269,0.3972,2.19,GUF
1409.5476,ABAB,ABB-122,,-56.0159,69.541,1.299,0.3972,2.19,GUF
1409.7,ABAB,ABB-122,,-55.2446,69.541,1.322,0.3972,2.19,GUF
1409.8524,ABAB,ABB-122,,-55.1124,69.541,1.344,0.3972,2.19,GUF
1410.0048,ABAB,ABB-122,,-54.9791,69.541,1.359,0.3972,2.19,GUF
1410.1572,ABAB,ABB-122,,-55.3668,69.541,1.375,0.3972,2.19,GUF
1410.3096,ABAB,ABB-122,,-55.7546,69.541,1.39,0.3972,2.19,GUF
1410.462,ABAB,ABB-122,,-55.9813,69.541,1.405,0.3972,2.19,GUF
1410.6144,ABAB,ABB-122,,-56.2071,69.541,1.42,0.3972,2.19,GUF
1410.7668,ABAB,ABB-122,,-56.3618,69.541,1.435,0.3972,2.19,GUF
1410.9192,ABAB,ABB-122,,-56.5166,69.541,1.429,0.3972,2.19,GUF
1411.0716,ABAB,ABB-122,,-56.8313,69.541,1.422,0.3972,2.19,GUF
1411.224,ABAB,ABB-122,,-57.146,69.541,1.404,0.3972,2.19,GUF
1411.3764,ABAB,ABB-122,,-56.6388,69.541,1.385,0.3972,2.19,GUF
1411.5288,ABAB,ABB-122,,-56.1305,69.541,1.367,0.3972,2.19,GUF
1411.6812,ABAB,ABB-122,,-55.6223,69.541,1.34,0.3972,2.19,GUF
1411.8336,ABAB,ABB-122,,-55.657,69.541,1.312,0.3972,2.19,GUF
1411.986,ABAB,ABB-122,,-55.6928,69.541,1.284,0.3972,2.19,GUF
1412.1384,ABAB,ABB-122,,-55.1785,69.541,1.256,0.3972,2.19,GUF
1412.2908,ABAB,ABB-122,,-54.6633,69.541,1.262,0.3972,2.19,GUF
1412.4432,ABAB,ABB-122,,-53.695,69.541,1.267,0.3972,2.19,GUF
1412.5956,ABAB,ABB-122,,-53.6637,69.541,1.282,0.3972,2.19,GUF
1412.748,ABAB,ABB-122,,-53.6325,69.541,1.298,0.3972,2.19,GUF
1412.9004,ABAB,ABB-122,,-53.6002,69.541,1.313,0.3972,2.19,GUF
1413.0528,ABAB,ABB-122,,-53.86,69.541,1.325,0.3972,2.19,GUF
1413.2052,ABAB,ABB-122,,-54.1187,69.541,1.338,0.3972,2.19,GUF
1413.3576,ABAB,ABB-122,,-54.3025,69.541,1.35,0.3972,2.19,GUF
1413.51,ABAB,ABB-122,,-54.4872,69.541,1.333,0.3972,2.19,GUF
1413.6624,ABAB,ABB-122,,-54.6709,69.541,1.317,0.3972,2.19,GUF
1413.8148,ABAB,ABB-122,,-54.8547,69.541,1.3,0.3972,2.19,GUF
1413.9672,ABAB,ABB-122,,-54.8764,69.541,1.283,0.3972,2.19,GUF
1414.1196,ABAB,ABB-122,,-54.8992,69.541,1.276,0.3972,2.19,GUF
1414.272,ABAB,ABB-122,,-54.9909,69.541,1.27,0.3972,2.19,GUF
1414.4244,ABAB,ABB-122,,-55.0837,69.541,1.263,0.3972,2.19,GUF
1414.5768,ABAB,ABB-122,,-54.9724,69.541,1.285,0.3972,2.19,GUF
1414.7292,ABAB,ABB-122,,-54.8611,69.541,1.307,0.3972,2.19,GUF
1414.8816,ABAB,ABB-122,,-54.7509,69.541,1.33,0.3972,2.19,GUF
1415.034,ABAB,ABB-122,,-54.6396,69.541,1.341,0.3972,2.19,GUF
1415.1864,ABAB,ABB-122,,-54.5914,69.541,1.353,0.3972,2.19,GUF
1415.3388,ABAB,ABB-122,,-55.0311,69.541,1.337,0.3972,2.19,GUF
1415.4912,ABAB,ABB-122,,-55.4719,69.541,1.322,0.3972,2.19,GUF
1415.6436,ABAB,ABB-122,,-56.2016,69.541,1.287,0.3972,2.19,GUF
1415.796,ABAB,ABB-122,,-56.9324,69.541,1.253,0.3972,2.19,GUF
1415.9484,ABAB,ABB-122,,-56.7491,69.541,1.234,0.3972,2.19,GUF
1416.1008,ABAB,ABB-122,,-56.5668,69.541,1.215,0.3972,2.19,GUF
1416.2532,ABAB,ABB-122,,-55.4636,69.541,1.196,0.3972,2.19,GUF
1416.4056,ABAB,ABB-122,,-54.3603,69.541,1.209,0.3972,2.19,GUF
1416.558,ABAB,ABB-122,,-53.8261,69.541,1.222,0.3972,2.19,GUF
1416.7104,ABAB,ABB-122,,-53.2918,69.541,1.236,0.3972,2.19,GUF
1416.8628,ABAB,ABB-122,,-52.7576,69.541,1.264,0.3972,2.19,GUF
1417.0152,ABAB,ABB-122,,-52.9323,69.541,1.293,0.3972,2.19,GUF
1417.1676,ABAB,ABB-122,,-53.107,69.541,1.318,0.3972,2.19,GUF
1417.32,ABAB,ABB-122,,-53.5618,69.541,1.343,0.3972,2.19,GUF
1417.4724,ABAB,ABB-122,,-54.0165,69.541,1.368,0.3972,2.19,GUF
1417.6248,ABAB,ABB-122,,-54.4713,69.541,1.364,0.3972,2.19,GUF
1417.7772,ABAB,ABB-122,,-54.846,69.541,1.36,0.3972,2.19,GUF
1417.9296,ABAB,ABB-122,,-55.2208,69.541,1.336,0.3972,2.19,GUF
1418.082,ABAB,ABB-122,,-55.5955,69.541,1.312,0.3972,2.19,GUF
